選課代號,班級,永久課號,科目名稱,學分,授課時數,必/選,授課教師,教室,修課人數,人數上限,上課時間	
 0929	 四子二丙	 222C10523	 計算機網路	 3.0	 3.0	 選修	 謝欽旭	 資809	 49	 49	 (二)2-4
 0930	 四子二丙	 222C10355	 視窗程式設計	 3.0	 3.0	 選修	 張財榮	 資501A	 54	 55	 (一)5-7
 0931	 四子二丙	 222C00152	 資料結構	 3.0	 3.0	 必修	 劉炳宏	 資701	 71	 80	 (三)2-4
 0932	 四子二丙	 222C10426	 FPGA系統設計實務	 3.0	 3.0	 選修	 黃冠渝	 資809	 50	 49	 (四)2-4
 4453	 四子二丙	 043C00003	 實用英文(四)	 2.0	 2.0	 必修	 王佩玲	 育204	 29	 0	 (二)5-6
 0933	 四子三甲	 222C10278	 半導體元件	 3.0	 3.0	 選修	 楊素華	 育202	 56	 56	 (四)2-4
 0935	 四子三甲	 222C10434	 數值分析	 3.0	 3.0	 選修	 宋杭融	 資405	 50	 54	 (五)5-7
 0936	 四子三甲	 222C10253	 類比積體電路設計	 3.0	 3.0	 選修	 王鴻猷	 資504	 28	 40	 (三)2-4
 0937	 四子三甲	 222C10332	 VLSI設計實務	 3.0	 3.0	 選修	 謝慶發	 資501A	 18	 30	 (三)7-9
 0938	 四子三甲	 222C10633	 生醫電子儀表與量測	 3.0	 3.0	 選修	 江柏叡,蔡正才	 資504	 37	 40	 (二)5-7
 5349	 四子三甲	 222C00172	 數位系統設計	 3.0	 3.0	 選修	 蔣元隆	 資704	 34	 50	 (四)5-7
 0935	 四子三乙	 222C10434	 數值分析	 3.0	 3.0	 選修	 宋杭融	 資405	 50	 54	 (五)5-7
 0937	 四子三乙	 222C10332	 VLSI設計實務	 3.0	 3.0	 選修	 謝慶發	 資501A	 18	 30	 (三)7-9
 0940	 四子三乙	 222C10409	 數位訊號處理	 3.0	 3.0	 選修	 鄭瑞川	 資001	 40	 70	 (二)5-7
 0941	 四子三乙	 222C10441	 數位影像處理	 3.0	 3.0	 選修	 張俊傑	 資704	 64	 50	 (三)7-9
 0944	 四子三乙	 222C10567	 人工智慧導論	 3.0	 3.0	 選修	 張財榮	 資501A	 59	 60	 (四)2-4
 5350	 四子三乙	 222C10646	 手機平台實務	 3.0	 4.0	 選修	 翁欲盛	 資809	 51	 49	 (五)1-4
 0935	 四子三丙	 222C10434	 數值分析	 3.0	 3.0	 選修	 宋杭融	 資405	 50	 54	 (五)5-7
 0943	 四子三丙	 222C00170	 作業系統	 3.0	 3.0	 必修	 張財榮	 資501A	 56	 55	 (二)2-4
 0944	 四子三丙	 222C10567	 人工智慧導論	 3.0	 3.0	 選修	 張財榮	 資501A	 59	 60	 (四)2-4
 0946	 四子四甲	 222C10522	 雷射工程	 3.0	 3.0	 選修	 藍仁鴻	 育405	 11	 48	 (四)2-4
 0947	 四子四甲	 222C10334	 薄膜技術	 3.0	 3.0	 選修	 劉宜鑫	 育202	 50	 56	 (四)6-8
 0948	 四子四甲	 222C10424	 工程英文(二)	 3.0	 3.0	 選修	 王怡人	 資809	 49	 50	 (一)2-4
 0949	 四子四甲	 222C10506	 太陽能元件	 3.0	 3.0	 選修	 李俊哲	 育505	 61	 56	 (五)2-4
 0950	 四子四甲	 222C10468	 材料科學與應用(二)	 3.0	 3.0	 選修	 蔡明峯	 資405	 28	 60	 (三)7-9
 0953	 四子四甲	 222C10644	 無線感測網路實務	 3.0	 4.0	 選修	 洪盟峯	 資809	 19	 49	 (四)5-8
 0948	 四子四乙	 222C10424	 工程英文(二)	 3.0	 3.0	 選修	 王怡人	 資809	 49	 50	 (一)2-4
 0953	 四子四乙	 222C10644	 無線感測網路實務	 3.0	 4.0	 選修	 洪盟峯	 資809	 19	 49	 (四)5-8
 0948	 四子四丙	 222C10424	 工程英文(二)	 3.0	 3.0	 選修	 王怡人	 資809	 49	 50	 (一)2-4
 0954	 四子四丙	 222C10464	 多媒體系統	 3.0	 3.0	 選修	 陳聰毅	 資405	 30	 55	 (四)2-4
 0955	 四子四丙	 222C10653	 FPGA應用設計	 3.0	 4.0	 選修	 黃冠渝	 資704	 21	 60	 (五)1-4

