township,basin,river,twd97lon,twd97lat,twd97tm2x,twd97tm2y,siteaddress,statusofuse,siteid,sitename,siteengname,county
壯圍鄉,蘭陽溪流域,蘭陽溪,121.8201120,24.7137630,332974.71,2734322.33,宜蘭縣壯圍鄉2號公路,啟用,1226,噶瑪蘭橋(原為興蘭大橋),"Sinlanda Bridge",宜蘭縣
五結鄉,蘭陽溪流域,蘭陽溪,121.7720000,24.7136111,328106.88,2734277.23,宜蘭縣五結鄉8號公路,啟用,1225,蘭陽大橋,"Lanyangda Bridge",宜蘭縣
員山鄉,蘭陽溪流域,蘭陽溪,121.7248190,24.7048170,323338.34,2733277.09,宜蘭縣員山鄉深溝村7號公路葫蘆堵大橋,啟用,1224,葫蘆堵大橋(原為上深溝),Shangshengo,宜蘭縣
大同鄉,蘭陽溪流域,蘭陽溪,121.6059240,24.6810980,311319.64,2730591.55,宜蘭縣大同鄉松羅村7號公路大同國小附近,啟用,1223,崙埤橋(原為崙碑),Lonbei,宜蘭縣
礁溪鄉,得子口溪流域,得子口溪,121.8128950,24.8177140,332176.06,2745832.18,宜蘭縣礁溪鄉塭底路,啟用,1222,時潮橋(原為復興橋),"Fusing Bridge",宜蘭縣
礁溪鄉,得子口溪流域,得子口溪,121.7724167,24.8063611,328091.03,2744550.9,宜蘭縣礁溪鄉宜6鄉道(七結路接玉民路二段),啟用,1221,七結橋(取代得子口橋),"Tetzekou Bridge",宜蘭縣
車城鄉,保力溪流域,保力溪,120.7110000,22.0578889,220172.26,2439994.78,屏東縣車城鄉射寮村新街路屏153縣,啟用,1220,臨海橋,"Linhia Bridge",屏東縣
恆春鎮,保力溪流域,保力溪,120.7378333,21.9882222,222928.51,2432276.26,屏東縣恆春鎮龍水里龍鑾路接龍泉路旁,啟用,1219,龍潭橋(原為龍鑾潭),Longluntan,屏東縣
車城鄉,四重溪流域,四重溪,120.7408319,22.0827919,223255.92,2442746.54,屏東縣車城鄉內埔路,啟用,1218,懷恩橋(原為二重溪),Erchongci,屏東縣
牡丹鄉,四重溪流域,四重溪,120.7727500,22.1235278,226556.35,2447251.61,屏東縣牡丹鄉石門路35之30號(199線公路)旁,啟用,1217,石門村過四重溪水泥橋(原為石門),Shihmen,屏東縣
枋山鄉,楓港溪流域,楓港溪,120.6911681,22.1958611,218156.41,2455275.36,屏東縣枋山鄉舊庄路台1線456公里處,啟用,1216,楓港橋,"Fongang Bridge",屏東縣
獅子鄉,楓港溪流域,楓港溪,120.7636667,22.2125833,225634.64,2457113.45,屏東縣獅子鄉丹路村台9線道路,啟用,1215,巴士墨段橋(取代伊屯吊橋),"Itun Suspension Bridge",屏東縣
枋山鄉,枋山溪流域,枋山溪,120.6540669,22.2560989,214346.11,2461953.37,屏東縣枋山鄉台1線公路(488公里處),啟用,1214,枋山大橋(原為枋山橋),"Fangshan Bridge",屏東縣
枋寮鄉,率芒溪流域,率芒溪,120.6117519,22.3432989,210009.66,2471619.18,屏東縣枋寮鄉台1線公路(437公里處),啟用,1213,枋寮大橋,"Fangliuda Bridge",屏東縣
林邊鄉,林邊溪流域,林邊溪,120.5232661,22.4308169,200926.01,2481335.96,屏東縣林邊鄉台17號公路(264公里處),啟用,1212,林邊大橋,"Linbianda Bridge",屏東縣
新埤鄉,林邊溪流域,林邊溪,120.5504200,22.4611969,203731.30,2484691.25,屏東縣新埤鄉台1號公路(422公里處),啟用,1211,新埤大橋,"Sinbeida Bridge",屏東縣
東港鎮,東港溪流域,東港溪,120.4596350,22.4777169,194394.54,2486551.33,屏東縣東港鎮台17線公路(264.5公里處),啟用,1210,東港大橋,"Donggangda Bridge",屏東縣
新園鄉,東港溪流域,東港溪,120.4620069,22.5045231,194649.28,2489518.69,屏東縣新園鄉南興路台27線76公里處,啟用,1209,港西抽水站,"Gangci Pomping Station",屏東縣
萬丹鄉,東港溪流域,東港溪,120.5035000,22.5421389,198932.153032771,2493669.10528229,屏東縣萬丹鄉新南路屏58線5.5公里處,啟用,1208,興社大橋,"Cinsheda Bridge",屏東縣
潮州鎮,東港溪流域,東港溪,120.5396667,22.5647500,202659.878255941,2496160.90789169,屏東縣潮州鎮延平路(屏85鄉道),啟用,1207,潮州大橋（取代新潮州大橋）,"Chaojhouda Bridge",屏東縣
萬巒鄉,東港溪流域,東港溪,120.5829519,22.6029350,207123.15,2500376.03,屏東縣萬巒鄉柑園路,啟用,1206,隴東橋(原為龍東橋),"Longdon Bridge",屏東縣
旗山區,高屏溪流域,旗山溪,120.489235,22.881998,197594.25,2531315.98,高雄市旗山區3號公路,停用,1205,旗尾橋,"Ciwei Bridge",高雄市
旗山區,高屏溪流域,旗山溪,120.5217161,22.9611019,200955.59,2540055.69,高雄市杉林區清水路台29號公路(258.5公里處),啟用,1204,月眉橋,"Yuemei Bridge",高雄市
林園區,高屏溪流域,高屏溪,120.4184444,22.4950278,190163.22,2488484.03,高雄市林園區台17線公路(250公里處),啟用,1203,雙園大橋,"Shuangyuanda Bridge",高雄市
大樹區,高屏溪流域,高屏溪,120.4374111,22.6471261,192178.25,2505318.54,高雄市大樹區台1線公路(392.5公里處),啟用,1202,高屏大橋,"Gaopingda Bridge",高雄市
大樹區,高屏溪流域,高屏溪,120.4527100,22.7706711,193801.12,2518993.12,高雄市大樹區里嶺路接旗楠三路台22線,啟用,1201,里嶺大橋(取代嶺口橋),"Linko Bridge",高雄市
里港鄉,高屏溪流域,高屏溪,120.5026389,22.7953611,198937.39194404,2521709.01961331,屏東縣里港鄉里港路台3線公路(428公里處),啟用,1200,里港大橋,"Ligangda Bridge",屏東縣
彌陀區,阿公店溪流域,阿公店溪,120.2321269,22.8007420,171166.85,2522423.70,高雄市彌陀區舊港路(高21線2.5公里處),啟用,1199,舊港橋,"Geogon Bridge",高雄市
岡山區,阿公店溪流域,阿公店溪,120.2970278,22.7853611,177822.001926826,2520687.3373753,高雄市岡山區岡山路(台1線與縣186交界),啟用,1198,阿公店橋,"Agongdian Bridge",高雄市
燕巢區,阿公店溪流域,阿公店溪,120.3614444,22.8030000,184444.643123061,2522610.58989435,高雄市燕巢區西燕村紅山巷(高29-1線0.6公里處),啟用,1197,蓬萊橋(原為阿公店溪),"Agongdian River",高雄市
