township,basin,river,twd97lon,twd97lat,twd97tm2x,twd97tm2y,siteaddress,statusofuse,siteid,sitename,siteengname,county
大甲區,大甲溪流域,大甲溪,120.6049050,24.3154700,209900.79,2690018.18,台中市大甲區1號公路169km處,啟用,1116,大甲溪橋,"Dajia River Bridge",臺中市
神岡區,大甲溪流域,大甲溪,120.6947069,24.2839310,219007.42,2686502.21,台中市國道一號164km處,啟用,1115,高速公路橋,"Hiway Bridge",臺中市
后里區,大甲溪流域,大甲溪,120.7228050,24.2826861,221859.61,2686358.38,台中市后里區13號公路,啟用,1114,后豐大橋,"Houfonda Bridge",臺中市
豐原區,大甲溪流域,大甲溪,120.7739722,24.2750556,227052.67167754,2685503.90319055,臺中市石岡區台3線163公里處(大勇街底),啟用,1113,金星橋（取代朴子口）,"Jinxing Bridge",臺中市
石岡區,大甲溪流域,大甲溪,120.7798147,24.2837500,227647.35,2686465.87,台中市石岡區石城街,啟用,1112,長庚橋(取代石岡壩),"Shihgang Dam",臺中市
東勢區,大甲溪流域,大甲溪,120.8200319,24.2608461,231726.83,2683923.37,台中市東勢區台3號公路22km處,啟用,1111,東勢大橋(原名東豐大橋),"Dongfonda Bridge",臺中市
東勢區,大甲溪流域,大甲溪,120.8379181,24.1719361,233531.50,2674074.31,台中市東勢區台8號10.5km處,啟用,1110,龍安橋,"Longanda Bridge",臺中市
和平區,大甲溪流域,大甲溪,120.9746939,24.1748900,247428.81,2674392.15,台中市和平區台8線29.5km處,啟用,1109,松鶴橋(原為長青橋),"Changcing Bridge",臺中市
大甲區,大安溪流域,大安溪,120.6105972,24.4014167,210505.19,2699535.49,台中市台61線西濱快速道路135公里處,啟用,1108,西濱快速道路(取代大安溪出海口),"Da-an River Mouth",臺中市
大甲區,大安溪流域,大安溪,120.6449161,24.3705750,213977.25,2696110.30,台中市大甲區1號公路(經國路),啟用,1107,大安溪橋,"Da-an River Bridge",臺中市
三義鄉,大安溪流域,大安溪,120.7342222,24.3486667,223032.63,2693663.63,苗栗縣三義鄉13號公路(尖豐公路),啟用,1106,義里大橋,"Yilida Bridge",苗栗縣
卓蘭鎮,大安溪流域,大安溪,120.8173210,24.3076950,231458.38,2689112.32,苗栗縣卓蘭鎮台3號公路(中豐新路),啟用,1105,卓蘭大橋(原為蘭勢橋),"Lanshih Bridge",苗栗縣
卓蘭鎮,大安溪流域,大安溪,120.9105278,24.2943611,240917.78,2687626.32,苗栗縣卓蘭鎮內彎里東盛84之5號,啟用,1104,白布帆大橋,"Beifan Bridge",苗栗縣
西湖鄉,西湖溪流域,西湖溪,120.7526010,24.5632681,224939.95,2717428.25,苗栗縣西湖鄉台1號公路119號公路交會處,啟用,1103,西湖橋(原名四湖橋),"Sihhu Bridge",苗栗縣
西湖鄉,西湖溪流域,西湖溪,120.7478719,24.5333390,224454.85,2714114.30,苗栗縣西湖鄉四湖村縣119號公路9km處,啟用,1102,龍壽橋,"Longsho Bridge",苗栗縣
銅鑼鄉,西湖溪流域,西湖溪,120.7805989,24.4941931,227763.82,2709773.02,苗栗縣銅鑼鄉縣128號公路14km處,啟用,1101,竹森橋（原為竹森大橋）,"Tongluo Bridge",苗栗縣
後龍鎮,後龍溪流域,後龍溪,120.7842980,24.6087439,228158.56,2722459.59,苗栗縣後龍鎮台1號公路110km處,啟用,1100,後龍溪橋,"Houlong River Bridge",苗栗縣
後龍鎮,後龍溪流域,後龍溪,120.8255631,24.5948969,232335.03,2720920.02,苗栗縣後龍鎮北勢村台13甲公路11km處,啟用,1099,北勢大橋,"Peishih Bridge",苗栗縣
頭屋鄉,後龍溪流域,後龍溪,120.8394444,24.5612500,233736.427537893,2717191.71873252,"苗栗縣頭屋鄉台 6 線公路 14 km 處(玉清路)",啟用,1098,玉清大橋（取代頭屋大橋）,"Yuqing Bridge",苗栗縣
公館鄉,後龍溪流域,後龍溪,120.8159169,24.5364400,231349.52,2714446.85,苗栗縣公館鄉6號公路12km處,啟用,1097,龜山橋,"Gueishan Bridge",苗栗縣
造橋鄉,中港溪流域,南港溪(苗),120.8678510,24.6558989,236623.96,2727671.62,苗栗縣造橋鄉1號公路98km處,啟用,1096,南港溪橋,"Nangang River Bridge",苗栗縣
頭份市,中港溪流域,中港溪,120.8817000,24.6669460,238026.80,2728893.88,苗栗縣頭份市尖山台1號與13號公路交叉口,啟用,1095,尖山大橋(取代中港溪橋),"Jhonggang River Bridge",苗栗縣
頭份市,中港溪流域,中港溪,120.9079069,24.6805519,240680.23,2730398.80,苗栗縣頭份鎮水源路,啟用,1094,東興大橋,"Dongcin Bridge",苗栗縣
三灣鄉,中港溪流域,中港溪,120.9492131,24.6758869,244860.20,2729879.94,苗栗縣三灣鄉內灣村台3號公路92km處,啟用,1093,平安大橋,"Pinanda Bridge",苗栗縣
三灣鄉,中港溪流域,中港溪,120.9591131,24.6618981,245861.65,2728330.25,苗栗縣三灣鄉台3號公路98km處,啟用,1092,三灣大橋,"Sanwanda Bridge",苗栗縣
南庄鄉,中港溪流域,中港溪,121.0109430,24.6334600,251107.85,2725179.99,苗栗縣南庄鄉124甲公路21km處,停用,1091,田美大橋,"Teinmeda Bridge",苗栗縣
香山區,客雅溪流域,客雅溪,120.9253569,24.8032281,242453.57,2743985.10,新竹市香山區虎林里延平路三段旁,啟用,1090,香雅橋,"Siangya Bridge",新竹市
北區,客雅溪流域,客雅溪,120.9588139,24.7967361,245835.86,2743264.62,新竹市北區中華路二段鐵道路,啟用,1089,客雅溪橋,"Keya River Bridge",新竹市
東區,客雅溪流域,客雅溪,120.9698056,24.7756528,246946.67,2740929.17,新竹市東區高峰里明湖路煙波飯店旁,啟用,1088,鳳凰橋(原為青草湖),"Chintsao Lake",新竹市
竹東鎮,頭前溪流域,上坪溪,121.1032939,24.7226750,260449.77,2735065.06,新竹縣竹東鎮3號公路,啟用,1087,竹東大橋,"Jhudongda Bridge",新竹縣
竹東鎮,頭前溪流域,上坪溪,121.1030450,24.6900186,260427.31,2731448.09,新竹縣竹東鎮東峰路(縣122號道),啟用,1086,寶山水庫取水口,"Paosan Reservoir water Intake",新竹縣
橫山鄉,頭前溪流域,上坪溪,121.1190790,24.6680600,262051.93,2729017.33,新竹縣橫山鄉上坪竹35號道,啟用,1085,瑞昌大橋(原為瑞豐大橋),"Wanfonda Bridge",新竹縣
橫山鄉,頭前溪流域,油羅溪,121.1832389,24.7020320,268540.51,2732787.14,新竹縣橫山鄉內灣村縣120號公路旁,啟用,1084,內灣吊橋,"Neiwun Suspension Bridge",新竹縣
北區,頭前溪流域,頭前溪,120.9792961,24.8250911,247907.20,2746404.72,新竹市北區湳雅里竹54-2號道,啟用,1083,湳雅取水口(取代溪洲大橋),"Sichiuda Bridge",新竹市
東區,頭前溪流域,頭前溪,120.9970100,24.8228950,249697.76,2746161.33,新竹市東區台一省道與東西向快速道路交會口附近,啟用,1082,頭前溪橋,"Toucian River Bridge",新竹市
竹東鎮,頭前溪流域,頭前溪,121.0576161,24.7856880,255825.82,2742041.55,新竹縣竹東鎮麻園肚縣120號公路旁,啟用,1081,中正大橋,"Jhongjhengda Bridge",新竹縣
竹東鎮,頭前溪流域,頭前溪,121.0935961,24.7476839,259466.79,2737834.29,新竹縣竹東鎮123號公路,啟用,1080,竹林大橋,"Jhulinda Bridge",新竹縣
新豐鄉,新豐溪流域,茄苳溪(竹),120.9719536,24.9089675,247166.91,2755694.99,新竹縣新豐鄉紅毛(紅毛港遊憩區),啟用,1079,紅樹林橋(原為紅毛港大橋),"Honmoa Harbor",新竹縣
新豐鄉,新豐溪流域,茄苳溪(竹),120.9825840,24.9005910,248240.63,2754767.05,新竹縣新豐鄉新庄路(竹1縣5公里處),停用,1078,坑子口橋,"Kendzuko Bridge",新竹縣
新豐鄉,新豐溪流域,茄苳溪(竹),120.9864669,24.8877350,248632.73,2753343.05,新竹縣新豐鄉象鼻村竹3線與竹5-1線交會口附近,啟用,1077,象鼻橋,"Siangbee Bridge",新竹縣
新豐鄉,新豐溪流域,茄苳溪(竹),120.9975920,24.8710110,249756.69,2751490.65,新竹縣新豐鄉台一省道與新興路222號旁,停用,1076,員山橋,"Yuanshan Bridge",新竹縣
新豐鄉,新豐溪流域,茄苳溪(竹),120.9955531,24.8690960,249550.66,2751278.53,新竹縣新豐鄉台一省道與新興路188號旁,啟用,1075,圓山橋（原為山崎橋）,"Shanchee Bridge",新竹縣
湖口鄉,新豐溪流域,茄苳溪(竹),121.0035700,24.8630130,250360.76,2750604.80,新竹縣湖口鄉竹9線(光榮路),停用,1074,茄苳一號橋,"Jialdong no. 1 Bridge",新竹縣
竹北市,鳳山溪流域,鳳山溪,120.9423611,24.8572500,244175.224957078,2749967.69858711,新竹縣竹北市鳳崗路五段交接水防道路五段,啟用,1073,水月橋（取代台15線鳳山溪橋）,"Fonggonda Bridge",新竹縣
竹北市,鳳山溪流域,鳳山溪,121.0048019,24.8525760,250485.28,2749448.78,新竹縣竹北市台1號省道,啟用,1072,台1線鳳山溪橋,"Fongshan River Bridge",新竹縣
新埔鎮,鳳山溪流域,鳳山溪,121.0656869,24.8256811,256639.76,2746471.51,新竹縣新埔鎮118號公路,啟用,1071,新埔大橋,"Sinpooda Bridge",新竹縣
關西鎮,鳳山溪流域,鳳山溪,121.1756531,24.7855550,267761.09,2742037.00,新竹縣關西鎮3號公路與竹25線交會口附近,啟用,1070,渡船大橋,"Doochunda Bridge",新竹縣
香山區,鹽港溪流域,鹽港溪,120.9062950,24.7408219,240521.67,2737074.27,新竹市香山區內湖里台13線,啟用,1069,誠仁橋,"Chenren Bridge",新竹市
香山區,鹽港溪流域,鹽港溪,120.9171340,24.7299750,241617.32,2735872.18,新竹市香山區中隘里台一省道旁,啟用,1068,中隘橋,"Jhongai Bridge",新竹市
寶山鄉,鹽港溪流域,鹽港溪,120.9643811,24.7299069,246396.81,2735862.57,新竹縣寶山鄉新城村竹47號道,啟用,1067,新城橋,"Sincheng Bridge",新竹縣
新豐鄉,福興溪流域,福興溪,121.0027160,24.9399011,250274.29,2759120.93,新竹縣新豐鄉後湖村省15號公路(西濱公路),啟用,1066,深坑橋,"Shenkeng Bridge",新竹縣
新屋區,福興溪流域,福興溪,121.0459569,24.9434461,254641.01,2759514.36,桃園市新屋區邱厝桃竹107線,啟用,1065,新湖橋,"Sinhoo Bridge",桃園市
楊梅區,福興溪流域,福興溪,121.0881331,24.9439439,258900.19,2759571.60,桃園市楊梅區員笨桃104線,啟用,1064,員笨橋,"Yuanben Bridge",桃園市
新屋區,社子溪流域,社子溪,121.0273061,24.9829919,252756.66,2763894.00,桃園市新屋區154號公路,啟用,1063,笨子港橋,"Bendzugon Bridge",桃園市
新屋區,社子溪流域,社子溪,121.0940469,24.9608469,259496.10,2761444.20,桃園市新屋區東明村中興路中華南路24巷交會口附近,啟用,1062,社子橋,"Shezih Bridge",桃園市
楊梅區,社子溪流域,社子溪,121.1237411,24.9357900,262496.92,2758671.27,桃園市楊梅區115號公路(楊新路一段),啟用,1061,老飯店橋,"Laofandian Bridge",桃園市
楊梅區,社子溪流域,社子溪,121.1462769,24.9187550,264774.89,2756786.72,桃園市楊梅區水美里海高路旁,啟用,1060,月眉橋,"Yuemei Bridge",桃園市
楊梅區,社子溪流域,社子溪,121.1516230,24.9031131,265316.82,2755054.80,桃園市楊梅區永寧里校前路旁,啟用,1059,永寧一號橋,"Yunin no. 1 Bridge",桃園市
大園區,老街溪流域,老街溪,121.1776119,25.0774436,267916.91,2774367.17,桃園市大園區內海村潮音路,啟用,1058,許厝港一號橋,"Shiutsugan No.1",桃園市
大園區,老街溪流域,老街溪,121.1963969,25.0637581,269814.08,2772853.94,桃園市大園區田心村中山南路中正西路交叉口附近,啟用,1057,中正橋,"Jhongjheng Bridge",桃園市
中壢區,老街溪流域,老街溪,121.2093447,25.0049556,271130.44,2766342.77,桃園市中壢區公園路一段,啟用,1056,公園橋上游(原為青埔橋),"Shinpoo Bridge",桃園市
平鎮區,老街溪流域,老街溪,121.2100950,24.9433769,271216.73,2759522.32,桃園市平鎮區宋屋村過嶺圳環南路二段環鄉橋,啟用,1055,環鄉橋(原為宋屋),Songwu,桃園市
平鎮區,老街溪流域,老街溪,121.2124419,24.9248289,271456.94,2757468.28,桃園市平鎮區北勢村113號公路國產實業附近,啟用,1054,北勢橋,"Peishih Bridge",桃園市
龍潭區,老街溪流域,老街溪,121.2132911,24.8742700,271551.49,2751868.47,桃園市龍潭區龍潭村113號公路(中豐路)敏盛醫院旁,啟用,1053,美都麗橋,"Meidooli Bridge",桃園市
蘆竹區,南崁溪流域,茄苳溪(桃),121.2775278,25.0343333,278005.94,2769609.09,桃園市蘆竹區大竹村南竹路,啟用,1052,茄苳溪橋,"Jiadong River Bridge",桃園市
桃園區,南崁溪流域,茄苳溪(桃),121.2826431,25.0097311,278527.82,2766885.15,桃園市桃園區中正里110號公路與國際路口附近,啟用,1051,星見橋,"Singein Bridge",桃園市
桃園區,南崁溪流域,茄苳溪(桃),121.2837103,24.9884964,278640.46,2764533.36,桃園市桃園區上海路與中山路交叉口附近,啟用,1050,宏太橋,"Hontia Bridge",桃園市
大園區,南崁溪流域,南崁溪,121.2507778,25.1021389,275292.595399926,2777114.21286143,桃園市大園區三民路一段附近之田寮橋,啟用,1049,田寮橋（取代竹圍大橋）,"Tianliao Bridge",桃園市
蘆竹區,南崁溪流域,南崁溪,121.2809569,25.0557331,278347.06,2771980.12,桃園市蘆竹區4號公路,啟用,1048,南崁溪橋,"Nankan River Bridge",桃園市
桃園區,南崁溪流域,南崁溪,121.3091139,25.0116481,281199.11,2767103.31,桃園市桃園區春日路與經國路交叉口附近,啟用,1047,大檜溪橋,"Dakwai River Bridge",桃園市
龜山區,南崁溪流域,南崁溪,121.3399500,24.9970219,284315.51,2765490.72,桃園市龜山區台一甲線與光華路交叉口附近,啟用,1046,龜山橋,"Gueishan Bridge",桃園市
龜山區,南崁溪流域,南崁溪,121.3623481,25.0187540,286570.02,2767903.70,桃園市龜山區舊路村105號公路與桃7線交會口附近,啟用,1045,舊路大橋,"Geolooda Bridge",桃園市
三峽區,淡水河流域,三峽河,,,,,新北市三峽區3號公路,停用,1044,橫溪橋,"Hengsi Bridge",新北市
三峽區,淡水河流域,三峽河,,,,,新北市三峽區成福里,停用,1043,竹崙橋,"Jhulun Bridge",新北市
三峽區,淡水河流域,三峽河,121.3748650,24.9346320,287859.04,2758589.53,新北市三峽區3號公路,啟用,1042,三峽大橋,"Sansia Bridge",新北市
三峽區,淡水河流域,三峽河,121.3737769,24.8956389,287761.02,2754270.27,新北市三峽區鳶山北111線,啟用,1041,三峽河抽水站(取代醒心橋),"SingSin Bridge",新北市
樹林區,淡水河流域,大漢溪,121.4046111,24.9682222,290852.160885162,2762318.69329649,新北市樹林區樂山里柑園街一段,啟用,1039,柑園二橋（取代柑園大橋）,"Hocungein Intake",新北市
瑞芳區,淡水河流域,基隆河,121.8286700,25.0881539,333588.05,2775798.02,新北市瑞芳區侯硐車站(北37線),啟用,1038,侯硐車站,"Hodon Station",新北市
瑞芳區,淡水河流域,基隆河,121.8199167,25.0583333,332725.093020428,2772489.39959919,新北市瑞芳區魚寮路三貂嶺步道旁之鐵路支線,啟用,1037,三貂嶺平溪線鐵道（取代貂嶺車站）,"Diolin Station",新北市
龍潭區,淡水河流域,大漢溪,121.2516590,24.8241889,275438.54,2746328.09,桃園市龍潭區台4線與台3乙線交會處附近,啟用,1036,後池堰,"Hochih Weir",桃園市
貢寮區,雙溪流域,雙溪,121.9095289,25.0207100,341794.94,2768379.61,新北市貢寮區102丙公路(貢寮街),啟用,1035,貢寮大橋,"Gongliaoda Bridge",新北市
雙溪區,雙溪流域,雙溪,121.8347690,25.0317969,334241.81,2769559.13,新北市雙溪區上林村北38號道(雙柑公路),啟用,1034,新寮子橋（原為新寮大橋）,"Sinliaoda Bridge",新北市
金山區,磺溪流域,磺溪,121.6309120,25.2273570,313567.39,2791109.59,新北市金山區北22線(三界鹽路)與中山路交會口,啟用,1033,四十號橋,"No. 40 Bridge",新北市
金山區,磺溪流域,磺溪,121.6306240,25.2269530,313538.58,2791064.71,新北市金山區台2線(中山路),啟用,1032,磺溪橋,"Huang River Bridge",新北市
金山區,磺溪流域,磺溪,121.5822730,25.1792090,308689.75,2785754.22,新北市金山區三和村2號公路大油坑旁,啟用,1031,上磺溪橋,"Upper Huang River Bridge",新北市
七堵區,,,,,,,六堵自動測站,停用,1030,六堵自動測站,,基隆市
,愛河流域,愛河,120.2899500,22.6210820,177008.25,2502499.41,高雄市五福三路底,停用,1029,高雄橋,"Kaohsiung Bridge",
,愛河流域,愛河,120.2884700,22.6265290,176858.99,2503103.30,高雄市中正四路底,停用,1028,中正橋,"Jhongjheng Bridge",
,愛河流域,愛河,120.2866240,22.6296380,176670.87,2503448.48,高雄市七賢三路底,停用,1027,七賢橋,"Cisian Bridge",
,愛河流域,愛河,120.2850150,22.6346890,176508.16,2504008.59,高雄市建國三路底,停用,1026,建國橋,"Chenguo Bridge",
,愛河流域,愛河,120.2823540,22.6459380,176240.64,2505255.56,高雄市九如四路底,停用,1025,九如橋,"Jiouru Bridge",
新店區,淡水河流域,景美溪,121.5532681,24.9792661,305856.81,2763594.93,新北市新店區寶橋路,啟用,1024,寶橋,"Bao Bridge",新北市
文山區,淡水河流域,景美溪,121.5720450,24.9920531,307746.55,2765019.15,台北市文山區秀明路一段底,啟用,1023,萬壽橋,"Wanshou Bridge",臺北市
深坑區,淡水河流域,景美溪,121.6214397,25.0012058,312728.3,2766054.9,新北市深坑區文化街與文山路一段62巷交會,啟用,1022,昇高大橋(取代深坑中正橋),"Shenkeng Jhongjheng Bridge",新北市
板橋區,淡水河流域,新店溪,121.4835090,25.0348980,298791.98,2769730.06,新北市板橋區文化路華江橋,啟用,1021,華江大橋,"Huajhian Bridge",新北市
中和區,淡水河流域,新店溪,121.4962700,25.0102131,300089.76,2767000.50,新北市中和區景平路中山路交會處附近,啟用,1020,華中大橋,"Huajhong Bridge",新北市
永和區,淡水河流域,新店溪,121.5142331,25.0213069,301898.18,2768236.06,新北市永和區永和路中正橋,啟用,1019,中正橋,"Jhongjheng Bridge",新北市
新店區,淡水河流域,新店溪,121.5358150,24.9609239,304102.77,2761556.19,新北市新店區北新路,啟用,1018,碧潭吊橋(取代碧潭大橋),"Beetan Bridge",新北市
板橋區,淡水河流域,大漢溪,121.4546200,25.0328661,295877.44,2769494.90,新北市板橋區新海路,啟用,1017,新海大橋,"Cinhi Bridge",新北市
板橋區,淡水河流域,大漢溪,121.4362461,24.9950731,294036.71,2765302.69,新北市板橋區大觀路浮洲橋,啟用,1016,浮洲橋,"Fuchou Bridge",新北市
鶯歌區,淡水河流域,大漢溪,121.3532231,24.9447611,285670.41,2759705.60,新北市鶯歌區文化路三鶯大橋,啟用,1015,三鶯大橋,"Sanying Bridge",新北市
鶯歌區,淡水河流域,大漢溪,121.3414250,24.9307050,284482.87,2758145.67,新北市鶯歌區鳶山攔水堰(北84線底),啟用,1014,板新取水口,"Bansin Intake",新北市
大溪區,淡水河流域,大漢溪,121.2838270,24.8846740,278676.26,2753033.83,桃園市大溪區省三號道路與北83線交會處旁,啟用,1013,大溪橋,"Dahan Bridge",桃園市
士林區,淡水河流域,基隆河,121.5137258,25.0884350,301818.75,2775671.35,台北市士林區承德路百齡橋,啟用,1012,百齡橋,"Bialin Bridge",臺北市
中山區,淡水河流域,基隆河,121.5444539,25.0764581,304923.65,2774356.85,台北市中山區北安路大直橋,啟用,1011,大直橋,"Dajhih Bridge",臺北市
松山區,淡水河流域,基隆河,121.5695161,25.0634669,307458.00,2772928.28,台北市松山區民權東路底與內湖交界處,啟用,1010,民權大橋,"Minchenda Bridge",臺北市
汐止區,淡水河流域,基隆河,121.6556400,25.0685730,316144.45,2773533.22,新北市汐止區汐萬路江北橋,啟用,1009,江北橋,"Jiangpei Bridge",新北市
七堵區,淡水河流域,基隆河,121.6933319,25.0787808,319941.33,2774682.89,基隆市七堵區實踐路,啟用,1008,實踐橋,"Shihgein Bridge",基隆市
七堵區,淡水河流域,基隆河,121.7037589,25.0947711,320983.98,2776459.55,基隆市七堵區工建西路六合橋,啟用,1007,六合橋,"Liuho Bridge",基隆市
暖暖區,淡水河流域,基隆河,121.7416289,25.1028361,324798.94,2777373.34,基隆市暖暖區過港路(台2丁縣旁),啟用,1006,暖江橋,"Nungen Bridge",基隆市
瑞芳區,淡水河流域,基隆河,121.8054000,25.1064039,331228.64,2777805.38,新北市瑞芳區侯硐路介壽橋,啟用,1005,介壽橋,"Jieshou Bridge",新北市
淡水區,淡水河流域,淡水河本流,121.4227450,25.1709011,292612.91,2784773.96,新北市淡水區,啟用,1004,淡水河口,"Danshuei River Mouth",新北市
八里區,淡水河流域,淡水河本流,121.4572369,25.1248169,296107.07,2779680.74,新北市八里區成泰路四段與縣103號道交會處附近,啟用,1003,關渡大橋,"Gwandu Bridge",新北市
士林區,淡水河流域,淡水河本流,121.5027969,25.0841740,300718.11,2775195.23,台北市士林區延平北路旁,啟用,1002,重陽大橋,"Chongyang Bridge",臺北市
中正區,淡水河流域,淡水河本流,121.5002090,25.0511440,300470.59,2771535.67,台北市中正區忠孝西路(中華路附近),啟用,1001,忠孝大橋,"Jhongshou Bridge.",臺北市
