年,月,BMI值體位,體位,人數,百分比
114,2,大於等於30.5小於31,常備役體位,9,0.99%
114,2,大於等於31小於31.5,替代役體位,4,0.44%
114,2,大於等於31.5小於32,免役體位,13,1.43%
114,2,大於等於32小於32.5,免役體位,4,0.44%
114,2,大於等於32.5小於33,免役體位,7,0.77%
114,2,大於等於33小於33.5,免役體位,6,0.66%
114,2,大於等於33.5小於34,免役體位,5,0.55%
114,2,大於等於34小於34.5,免役體位,6,0.66%
114,2,大於等於34.5小於35,免役體位,4,0.44%
114,2,大於等於35,免役體位,25,2.76%
